Species	Kingdom	Class	Size (Mb)	GC%	Number of genes	Number of proteins	Publication year	Assembly status
Capsaspora owczarzaki ATCC 30864	Protists	Other Protists	27.9678	53.7	8793	8792	2009	Scaffold
Hypsibius dujardini	Animals	Other Animals	104.155	44.5	20089	20853	2017	Scaffold
Tursiops truncatus	Animals	Mammals	2132.52	40.9	23994	38849	2016	Scaffold
Microcebus murinus	Animals	Mammals	2487.41	41.3423	31854	59023	2007	Chromosome
Dictyocaulus viviparus	Animals	Roundworms	160.964	35	14418	14171	2015	Scaffold
Oesophagostomum dentatum	Animals	Roundworms	443.017	42.8	25444	25227	2014	Scaffold
Limulus polyphemus	Animals	Other Animals	1828.27	34.5	26051	38682	2013	Scaffold
Priapulus caudatus	Animals	Other Animals	511.73800000000006	45.7995	15118	17993	2013	Scaffold
Strigamia maritima	Animals	Other Animals	176.21099999999996	35.8	-	-	2011	Scaffold
Dipodomys ordii	Animals	Mammals	2236.37	42.6	23257	29342	2008	Scaffold
Macaca fascicularis	Animals	Mammals	2946.84	41.3398	33107	62703	2013	Chromosome
Necator americanus	Animals	Roundworms	244.075	41.3	19472	19153	2013	Scaffold
Ochotona princeps	Animals	Mammals	2229.84	44	21374	25691	2012	Scaffold
Bubalus bubalis	Animals	Mammals	2655.78	41.814	33931	58204	2018	Chromosome
Microsporum canis CBS 113480	Fungi	Ascomycetes	23.2631	47.5	8847	8765	2008	Scaffold
Trichophyton equinum CBS 127.97	Fungi	Ascomycetes	24.1582	47.3	8785	8676	2008	Scaffold
Trichophyton tonsurans CBS 112818	Fungi	Ascomycetes	22.9886	48.1	8625	8521	2009	Scaffold
Trichophyton rubrum CBS 118892	Fungi	Ascomycetes	22.53	48.3	8804	8706	2009	Scaffold
Galeopterus variegatus	Animals	Mammals	3187.66	41.2	28608	32104	2014	Scaffold
Nannizzia gypsea CBS 118893	Fungi	Ascomycetes	23.2729	48.4	9029	8921	2008	Scaffold
Mortierella verticillata NRRL 6337	Fungi	Other Fungi	41.9129	48.8706	12774	12595	2014	Scaffold
Enterocytozoon bieneusi H348	Fungi	Other Fungi	3.86074	33.7	3731	3632	2007	Scaffold
Melitaea cinxia	Animals	Insects	389.908	33.6995	-	-	2014	Scaffold
Ascogregarina taiwanensis	Protists	Apicomplexans	6.14941	49.7	-	-	2010	Contig
Hemiselmis andersenii	Protists	Other Protists	0.632425	25.5344	599	515	2007	Chromosome
Bigelowiella natans CCMP2755	Other	Other	91.4059	44.9	-	-	2012	Contig
Verticillium dahliae VdLs.17	Fungi	Ascomycetes	33.9003	55.6	10811	10535	2008	Scaffold
Blumeria graminis f. sp. hordei DH14	Fungi	Ascomycetes	124.489	43.5	-	-	2018	Scaffold
Heterodera glycines	Animals	Roundworms	123.846	37.7	-	-	2019	Contig
Cryptosporidium muris RN66	Protists	Apicomplexans	9.24525	28.5	3981	3934	2007	Scaffold
Agaricus bisporus var. burnettii JB137-S8	Fungi	Basidiomycetes	32.6144	46.7	11455	11278	2012	Scaffold
Moniliophthora perniciosa FA553	Fungi	Basidiomycetes	26.6633	47.7	13973	13560	2008	Scaffold
Daucus carota subsp. sativus	Plants	Land Plants	421.539	36.0427	36167	44655	2016	Chromosome
Alternaria brassicicola	Fungi	Ascomycetes	31.0365	50.8	-	-	2017	Contig
Diaphorina citri	Animals	Insects	485.705	38.5	25433	24730	2013	Scaffold
Verticillium albo-atrum	Fungi	Ascomycetes	36.4685	56.5	-	-	2018	Scaffold
Trichophyton benhamiae CBS 112371	Fungi	Ascomycetes	22.2242	48.7	8035	7974	2010	Contig
Haematobia irritans	Animals	Insects	1143.54	17.2	-	-	2018	Scaffold
Vicugna pacos	Animals	Mammals	2172.21	41.7	24546	33202	2008	Scaffold
Choloepus hoffmanni	Animals	Mammals	3286.01	40	-	-	2008	Scaffold
Pleurotus ostreatus PC15	Fungi	Basidiomycetes	34.3427	50.9	12460	12296	2014	Scaffold
Beauveria bassiana ARSEF 2860	Fungi	Ascomycetes	33.6978	51.5	10364	10364	2012	Scaffold
Beauveria brongniartii RCEF 3172	Fungi	Ascomycetes	32.516	51.5	9595	9595	2016	Scaffold
Jatropha curcas	Plants	Land Plants	318.527	35.8997	24581	32547	2014	Scaffold
Rhodotorula graminis WP1	Fungi	Basidiomycetes	21.014	67.5	7429	7278	2015	Scaffold
Serpula lacrymans var. lacrymans S7.9	Fungi	Basidiomycetes	42.7972	45.3	12923	12925	2011	Scaffold
Candida parapsilosis	Fungi	Ascomycetes	13.0302	38.7	5907	5810	2011	Scaffold
Nosema ceranae	Fungi	Other Fungi	5.69075	25.4	3264	3209	2015	Contig
Varroa destructor	Animals	Other Animals	368.942	40.8991	12849	30221	2017	Scaffold
Aspergillus carbonarius ITEM 5010	Fungi	Ascomycetes	36.1491	51.6	11735	11478	2017	Scaffold
Acanthocheilonema viteae	Animals	Roundworms	77.3509	29.9	10343	10138	2018	Scaffold
Puccinia triticina 1-1 BBBD Race 1	Fungi	Basidiomycetes	135.344	36.8	15539	15685	2009	Scaffold
Cucumis sativus	Plants	Land Plants	195.669	32.7902	20396	25668	2009	Chromosome
Colletotrichum graminicola M1.001	Fungi	Ascomycetes	51.6443	49.0853	12387	12020	2009	Scaffold
Gorilla gorilla gorilla	Animals	Mammals	3063.36	41.2224	31893	46533	2008	Chromosome
Eucalyptus grandis	Plants	Land Plants	691.43	39.9993	45226	52554	2014	Scaffold
Amaranthus tuberculatus	Plants	Land Plants	4.3479800000000015	35	-	-	2009	Contig
Metarhizium anisopliae ARSEF 549	Fungi	Ascomycetes	38.5043	50.9	10891	10891	2015	Scaffold
Tuber melanosporum	Fungi	Ascomycetes	124.946	44.9	7496	7496	2010	Scaffold
Phanerochaete carnosa HHB-10118-sp	Fungi	Basidiomycetes	46.2933	52.9	14087	13925	2012	Scaffold
Magnaporthiopsis poae ATCC 64411	Fungi	Ascomycetes	39.6418	55.9	12363	12329	2011	Scaffold
Hamiltosporidium tvaerminnensis OER-3-3	Fungi	Other Fungi	13.2708	26.5	-	-	2009	Contig
Pseudogymnoascus destructans	Fungi	Ascomycetes	35.8182	49.2	9527	9405	2016	Scaffold
Sordaria macrospora k-hell	Fungi	Ascomycetes	38.3914	52.1	10410	9896	2009	Scaffold
Schizosaccharomyces cryophilus OY26	Fungi	Ascomycetes	11.5548	37.7	5468	5180	2009	Scaffold
Trichophyton verrucosum HKI 0517	Fungi	Ascomycetes	22.541	48.2	8086	8028	2010	Scaffold
Micromonas sp. ASP10-01a	Plants	Green Algae	19.5824	59.2	-	-	2015	Scaffold
Artemisia annua	Plants	Land Plants	1792.86	34.1	212	213	2018	Scaffold
Grosmannia clavigera kw1407	Fungi	Ascomycetes	29.794	53.3	8312	8312	2009	Scaffold
Fusarium proliferatum ET1	Fungi	Ascomycetes	45.2103	48.1	16509	16143	2016	Scaffold
Trichoderma harzianum CBS 226.95	Fungi	Ascomycetes	40.9806	47.6	14294	14065	2018	Scaffold
Metarhizium acridum CQMa 102	Fungi	Ascomycetes	39.4223	49.8	9974	9849	2011	Scaffold
Zygosaccharomyces bailii CLIB 213	Fungi	Ascomycetes	10.2688	42.5	5240	4723	2013	Scaffold
Zygosaccharomyces bisporus	Fungi	Ascomycetes	10.606	43.9	-	-	2018	Scaffold
Lachancea fermentati	Fungi	Ascomycetes	10.2645	42.582	5586	5233	2016	Chromosome
Procavia capensis	Animals	Mammals	3602.18	41.8	-	-	2008	Scaffold
Puccinia striiformis f. sp. tritici	Fungi	Basidiomycetes	156.834	44.4	-	-	2018	Contig
Microbotryum violaceum	Fungi	Basidiomycetes	39.9002	55.5	-	-	2016	Contig
Epichloe festucae Fl1	Fungi	Ascomycetes	35.0237	43.7002	-	-	2018	Complete Genome
Mchenga conophoros	Animals	Fishes	73.4256	41.8	-	-	2008	Scaffold
Encephalitozoon intestinalis ATCC 50506	Fungi	Other Fungi	2.2169	41.5182	2010	1938	2010	Chromosome
Cavenderia fasciculata	Protists	Other Protists	31.0192	33.8	12363	12165	2011	Scaffold
Bipolaris maydis ATCC 48331	Fungi	Ascomycetes	32.9292	50.7	12809	12705	2013	Scaffold
Wuchereria bancrofti	Animals	Roundworms	90.3251	29.1	-	-	2016	Scaffold
Mayetiola destructor	Animals	Insects	185.828	35.9	-	-	2010	Scaffold
Hyaloperonospora arabidopsidis Emoy2	Protists	Other Protists	78.3805	47.4	-	-	2008	Scaffold
Anopheles darlingi	Animals	Insects	136.936	48.3	10672	10444	2010	Contig
Labeotropheus fuelleborni	Animals	Fishes	70.8584	42.1	-	-	2008	Scaffold
Melanochromis auratus	Animals	Fishes	68.2386	41.5	-	-	2008	Scaffold
Maylandia zebra	Animals	Fishes	957.485	41.1537	31348	46173	2011	Chromosome
Rhamphochromis esox	Animals	Fishes	71.2951	42.3	-	-	2008	Scaffold
Nothobranchius kuhntae	Animals	Fishes	5.23461	44.8	-	-	2009	Scaffold
Scophthalmus maximus	Animals	Fishes	524.979	43.431	21194	26458	2018	Chromosome
Tachysurus fulvidraco	Animals	Fishes	713.811	39.6001	30061	47176	2018	Scaffold
Nothobranchius furzeri	Animals	Fishes	1242.52	44.8104	25026	36873	2015	Chromosome
Clonorchis sinensis	Animals	Flatworms	562.769	42.6	14935	14538	2018	Scaffold
Acropora millepora	Animals	Other Animals	386.6	35.1	-	-	2019	Scaffold
Anopheles stephensi	Animals	Insects	180.468	45.5202	-	-	2018	Chromosome
Dicentrarchus labrax	Animals	Fishes	675.9169999999998	40.4	-	-	2014	Scaffold
Gadus morhua	Animals	Fishes	824.311	46.3	-	-	2011	Scaffold
Onchocerca volvulus	Animals	Roundworms	96.3406	29.8	-	-	2013	Scaffold
Zostera marina	Plants	Land Plants	203.914	38.9	20855	20648	2015	Scaffold
Phoenix dactylifera	Plants	Land Plants	556.481	40.1056	29462	40634	2013	Scaffold
Elaeis guineensis	Plants	Land Plants	1535.18	40.999	30271	41887	2013	Chromosome
Loa loa	Animals	Roundworms	91.3658	31.6	15030	15440	2010	Scaffold
Anopheles funestus	Animals	Insects	444.544	41.18	-	-	2018	Chromosome
Amphimedon queenslandica	Animals	Other Animals	166.7	37.5008	24608	24116	2010	Scaffold
Steinernema carpocapsae	Animals	Roundworms	85.9347	45.5	-	-	2014	Scaffold
Ailuropoda melanoleuca	Animals	Mammals	2299.51	41.7	24774	36506	2009	Scaffold
Ectocarpus siliculosus	Other	Other	195.811	53.4936	16566	16269	2010	Chromosome
Coccomyxa subellipsoidea C-169	Plants	Green Algae	48.8266	52.9	9915	9839	2012	Contig
Cryptomonas paramecium	Protists	Other Protists	0.564783	27.811	634	548	2011	Chromosome
Tetranychus urticae	Animals	Other Animals	90.8286	32.4976	14146	15684	2011	Scaffold
Drosophila albomicans	Animals	Insects	253.56	39.4	-	-	2012	Scaffold
Lepeophtheirus salmonis	Animals	Other Animals	665.13	30.7	-	-	2015	Contig
Saprolegnia parasitica CBS 223.65	Protists	Other Protists	53.1316	57.5	20399	20121	2010	Scaffold
Pogonomyrmex barbatus	Animals	Insects	235.646	37.2	12640	19128	2011	Scaffold
Linepithema humile	Animals	Insects	219.501	37.9	12976	21674	2011	Scaffold
Ceratitis capitata	Animals	Insects	436.491	35.0995	14171	22949	2013	Scaffold
Bombus terrestris	Animals	Insects	248.654	38.0986	11816	22091	2010	Chromosome
Apis florea	Animals	Insects	230.485	34.8984	12158	17676	2010	Scaffold
Myzus persicae	Animals	Insects	347.3130000000001	30.0993	16941	23910	2016	Scaffold
Dictyostelium firmibasis	Protists	Other Protists	30.5597	27.8	-	-	2012	Scaffold
Dictyostelium citrinum	Protists	Other Protists	26.2518	30.3	-	-	2012	Scaffold
Dictyostelium intermedium	Protists	Other Protists	30.5295	27.2	-	-	2012	Scaffold
Polysphondylium violaceum	Protists	Other Protists	25.7234	31.8	-	-	2012	Contig
Oryza barthii	Plants	Land Plants	308.272	42.0761	-	-	2009	Chromosome
Cricetulus griseus	Animals	Mammals	2399.79	41.6	30639	38370	2011	Scaffold
Spirodela polyrhiza	Plants	Land Plants	136.67	42.7191	-	-	2017	Chromosome
Anas platyrhynchos	Animals	Birds	1126.18	41.6676	23822	39905	2018	Chromosome
Rhipicephalus microplus	Animals	Other Animals	2008.37	45.4	-	-	2017	Scaffold
Melampsora larici-populina 98AG31	Fungi	Basidiomycetes	101.129	41.3	16380	16372	2011	Scaffold
Mucor circinelloides f. lusitanicus CBS 277.49	Fungi	Other Fungi	36.5676	42.2	11936	11709	2016	Contig
Chaetomium thermophilum var. thermophilum DSM 1495	Fungi	Ascomycetes	28.3228	52.6	7469	7164	2011	Scaffold
Astrammina rara	Protists	Other Protists	1.45009	42	-	-	2011	Scaffold
Oryza sativa f. spontanea	Plants	Land Plants	337.95	42.9397	-	-	2014	Chromosome
Atta cephalotes	Animals	Insects	317.672	34.3992	11095	10657	2010	Scaffold
Cajanus cajan	Plants	Land Plants	592.971	33.7099	31542	38958	2013	Chromosome
Arachis hypogaea	Plants	Land Plants	2538.44	36.3505	111051	101111	2018	Chromosome
Patiria miniata	Animals	Other Animals	811.029	40.5	-	-	2012	Scaffold
Solenopsis invicta	Animals	Insects	398.995	37.3994	16243	25238	2011	Scaffold
Nilaparvata lugens	Animals	Insects	1140.8	36.0998	21205	24319	2014	Scaffold
Kluyveromyces aestuarii	Fungi	Ascomycetes	10.0522	38.3	-	-	2018	Scaffold
Mesostigma viride	Plants	Other Plants	145.899	54.2	-	-	2018	Contig
Exophiala dermatitidis NIH/UT8656	Fungi	Ascomycetes	26.3768	51.4748	9356	9578	2011	Scaffold
Camponotus floridanus	Animals	Insects	284.009	34.4	13984	23971	2018	Scaffold
Chironomus riparius	Animals	Insects	154.534	30.4	-	-	2015	Scaffold
Harpegnathos saltator	Animals	Insects	334.537	44.8	14277	26784	2018	Scaffold
Erysiphe pisi	Fungi	Ascomycetes	69.26100000000001	39.2	-	-	2011	Contig
Kluyveromyces wickerhamii UCD 54-210	Fungi	Ascomycetes	9.80774	40.9	-	-	2010	Contig
Cicer arietinum	Plants	Land Plants	530.894	32.6705	30043	35754	2012	Chromosome
Pyrenophora teres f. teres	Fungi	Ascomycetes	55.4151	45.3631	-	-	2017	Chromosome
Claviceps paspali RRC 1481	Fungi	Ascomycetes	28.9743	47.5	-	-	2011	Contig
Thecamonas trahens ATCC 50062	Protists	Other Protists	28.6806	63.6	10656	10626	2010	Scaffold
Sphaerulina musiva SO2202	Fungi	Ascomycetes	29.3521	51.1	10240	10156	2012	Scaffold
Nematocida parisii ERTm1	Fungi	Other Fungi	4.07135	34.6	2722	2661	2010	Scaffold
Sarcophilus harrisii	Animals	Mammals	3174.69	37	23887	30037	2011	Scaffold
Wickerhamomyces anomalus NRRL Y-366-8	Fungi	Ascomycetes	14.1456	35	6575	6421	2016	Scaffold
Punctularia strigosozonata HHB-11173 SS5	Fungi	Basidiomycetes	34.1719	54.9	11647	11540	2012	Scaffold
Caenorhabditis angaria	Animals	Roundworms	79.7615	36.5	-	-	2010	Scaffold
Ophiognomonia clavigignenti-juglandacearum	Fungi	Ascomycetes	52.5149	-	-	-	2018	Scaffold
Stereum hirsutum FP-91666 SS1	Fungi	Basidiomycetes	46.5116	51.3	14453	14066	2012	Scaffold
Fomitopsis pinicola FP-58527 SS1	Fungi	Basidiomycetes	41.6144	55.4	13993	13852	2013	Scaffold
Wolfiporia cocos MD-104 SS10	Fungi	Basidiomycetes	50.4836	52	12358	12212	2013	Scaffold
Phalaenopsis aphrodite	Plants	Land Plants	1025.1	-	-	-	2018	Scaffold
Mixia osmundae IAM 14324	Fungi	Basidiomycetes	13.6345	55.5	6858	6858	2014	Scaffold
Spathaspora passalidarum NRRL Y-27907	Fungi	Ascomycetes	13.1821	37.5	5983	5983	2011	Scaffold
Marchantia polymorpha	Plants	Land Plants	225.761	42.5	19287	24674	2018	Scaffold
Bipolaris sorokiniana ND90Pr	Fungi	Ascomycetes	34.4092	49.8	12308	12214	2013	Scaffold
Gossypium raimondii	Plants	Land Plants	761.565	33.5284	44678	59057	2012	Chromosome
Coniophora puteana RWD-64-598 SS2	Fungi	Basidiomycetes	42.9685	52.3	13896	13758	2012	Scaffold
Trametes versicolor FP-101664 SS1	Fungi	Basidiomycetes	44.794	57.3	14572	14302	2012	Scaffold
Fomitiporia mediterranea MF3/22	Fungi	Basidiomycetes	63.3544	41.7	11419	11338	2012	Scaffold
Latimeria chalumnae	Animals	Fishes	2860.59	43	26117	34251	2011	Scaffold
Dictyostelium purpureum	Protists	Other Protists	32.9672	24.5	12403	12399	2011	Scaffold
Gregarina niphandrodes	Protists	Apicomplexans	14.0091	53.5	6491	6375	2011	Scaffold
Mustela putorius furo	Animals	Mammals	2410.88	41.9	27321	48107	2011	Scaffold
Fragaria vesca subsp. vesca	Plants	Land Plants	214.373	38.9793	27771	31387	2010	Chromosome
Botryococcus braunii	Plants	Green Algae	184.382	50.8	-	-	2017	Scaffold
Platanista minor	Animals	Mammals	2671.07	41.7	-	-	2019	Scaffold
Haplochromis burtoni	Animals	Fishes	831.4119999999998	41.9	26625	44653	2011	Scaffold
Neolamprologus brichardi	Animals	Fishes	847.91	42.0001	25031	31372	2011	Scaffold
Pundamilia nyererei	Animals	Fishes	830.133	41.9	24446	38583	2011	Scaffold
Gelatoporia subvermispora B	Fungi	Basidiomycetes	38.9697	53.6	12314	12123	2012	Scaffold
Bombus impatiens	Animals	Insects	246.856	37.7	-	-	2011	Scaffold
Bos indicus	Animals	Mammals	2673.97	42.3689	26205	35992	2012	Chromosome
Piloderma croceum F 1598	Fungi	Basidiomycetes	59.3269	46.6	21607	21524	2015	Scaffold
Thalassiosira oceanica	Other	Other	92.1856	53.2646	34575	34533	2012	Contig
Vavraia culicis subsp. floridensis	Fungi	Other Fungi	6.11869	39.9	2823	2773	2011	Scaffold
Galendromus occidentalis	Animals	Other Animals	151.724	51.5955	12310	12003	2012	Scaffold
Drosophila bipectinata	Animals	Insects	167.264	41.6	15789	23478	2011	Scaffold
Drosophila elegans	Animals	Insects	171.268	40.3	16164	24259	2011	Scaffold
Drosophila ficusphila	Animals	Insects	152.439	42	15924	23894	2011	Scaffold
Drosophila kikkawai	Animals	Insects	164.293	41.4	15805	22310	2011	Scaffold
Drosophila takahashii	Animals	Insects	182.107	40	16175	23999	2011	Scaffold
Lytechinus variegatus	Animals	Other Animals	1061.2	36.9	-	-	2011	Scaffold
Strongyloides ratti	Animals	Roundworms	43.1502	21.5777	12446	12445	2014	Chromosome
Drosophila biarmipes	Animals	Insects	169.37900000000005	41.8	14943	22690	2011	Scaffold
Leishmania donovani	Protists	Kinetoplasts	32.445	59.1146	8123	8014	2011	Chromosome
Acromyrmex echinatior	Animals	Insects	295.945	34	12325	20241	2011	Scaffold
Zymoseptoria passerinii SP63	Fungi	Ascomycetes	28.7863	53.6	-	-	2011	Contig
Eucidaris tribuloides	Animals	Other Animals	2187.26	37.2	-	-	2015	Scaffold
Schrenkiella parvula	Plants	Land Plants	137.07299999999998	35.7366	-	-	2011	Chromosome
Odocoileus virginianus texanus	Animals	Mammals	2380.51	41.6	30264	47885	2017	Scaffold
Gloeophyllum trabeum ATCC 11539	Fungi	Basidiomycetes	37.1782	52.9	11885	11755	2013	Scaffold
Hanseniaspora valbyensis NRRL Y-1626	Fungi	Ascomycetes	11.464	22.6	4869	4772	2016	Scaffold
Amaranthus hypochondriacus	Plants	Land Plants	502.148	42.2	-	-	2014	Scaffold
Neurospora tetrasperma FGSC 2508	Fungi	Ascomycetes	39.1463	49.4	10380	10380	2011	Scaffold
Megachile rotundata	Animals	Insects	272.661	36.8	11824	26024	2011	Scaffold
Epichloe glyceriae E277	Fungi	Ascomycetes	46.723	43.5	-	-	2011	Contig
Cronartium quercuum f. sp. banksianae CqE3WM	Fungi	Basidiomycetes	22.134	41.1	-	-	2013	Scaffold
Aciculosporium take MAFF-241224	Fungi	Ascomycetes	58.8364	41.8	-	-	2011	Contig
Claviceps fusiformis PRL 1980	Fungi	Ascomycetes	52.5856	36.9	-	-	2011	Contig
Epichloe brachyelytri E4804	Fungi	Ascomycetes	44.2319	40.2	-	-	2011	Contig
Conidiobolus coronatus NRRL 28638	Fungi	Other Fungi	39.9037	31.9	11229	10572	2016	Scaffold
Drosophila rhopaloa	Animals	Insects	197.376	40.2	16738	23477	2011	Scaffold
Drosophila eugracilis	Animals	Insects	156.942	40.9	16123	24243	2011	Scaffold
Epichloe amarillans E57	Fungi	Ascomycetes	38.0624	44.3	-	-	2011	Contig
Periglandula ipomoeae IasaF13	Fungi	Ascomycetes	35.3016	50.6	-	-	2011	Contig
Saimiri boliviensis boliviensis	Animals	Mammals	2608.59	41.1	27316	36241	2011	Scaffold
Linum usitatissimum	Plants	Land Plants	316.1670000000001	40.8876	-	-	2018	Chromosome
Phytophthora cinnamomi	Protists	Other Protists	53.6914	54	-	-	2015	Scaffold
Heterocephalus glaber	Animals	Mammals	2618.2	41.2	37344	60814	2012	Scaffold
Epichloe typhina E8	Fungi	Ascomycetes	41.4386	41.5	-	-	2012	Contig
Coemansia reversa NRRL 1564	Fungi	Other Fungi	21.8379	45.4	7415	7341	2017	Scaffold
Gymnopus luxurians FD-317 M1	Fungi	Basidiomycetes	66.2817	45.1	22395	22046	2015	Scaffold
Inia geoffrensis	Animals	Mammals	2596.28	42.1	-	-	2019	Scaffold
Phoca vitulina	Animals	Mammals	2363.59	41.4	-	-	2019	Scaffold
Prototheca wickerhamii	Plants	Green Algae	27.6911	61.4745	-	-	2018	Scaffold
Wickerhamomyces canadensis	Fungi	Ascomycetes	12.4772	39.2	-	-	2018	Scaffold
Equus asinus	Animals	Mammals	2391.05	41.4	27227	42247	2015	Scaffold
Glis glis	Animals	Mammals	2462.09	42.3	-	-	2019	Scaffold
Hippopotamus amphibius	Animals	Mammals	2425.75	38.8	-	-	2018	Scaffold
Lampris guttatus	Animals	Fishes	849.278	44.3	-	-	2018	Scaffold
Percopsis transmontana	Animals	Fishes	458.089	-	-	-	2018	Scaffold
Rondeletia loricata	Animals	Fishes	568.5980000000002	-	-	-	2018	Scaffold
Beryx splendens	Animals	Fishes	533.268	43.3	-	-	2018	Scaffold
Zeus faber	Animals	Fishes	610.433	-	-	-	2018	Scaffold
Pagrus major	Animals	Fishes	875.465	38	-	-	2017	Scaffold
Vombatus ursinus	Animals	Mammals	3486.6	38.9	31204	42624	2018	Scaffold
Bombyx mandarina	Animals	Insects	398.589	37.3992	14343	19224	2018	Scaffold
Eumetopias jubatus	Animals	Mammals	2418.26	41.4	29897	39926	2019	Scaffold
Tamandua tetradactyla	Animals	Mammals	3849.37	39.5	-	-	2019	Scaffold
Lota lota	Animals	Fishes	397.499	-	-	-	2018	Scaffold
Gambusia affinis	Animals	Fishes	598.663	38.2	19445	19445	2018	Scaffold
Monocentris japonicus	Animals	Fishes	556.024	-	-	-	2018	Scaffold
Triops cancriformis	Animals	Other Animals	109.182	41.2	-	-	2015	Contig
Sphenodon punctatus	Animals	Reptiles	4272.21	-	-	-	2018	Scaffold
Erpetoichthys calabaricus	Animals	Fishes	3811.02	39.4067	-	-	2019	Chromosome
Polymixia japonica	Animals	Fishes	554.896	42.6	-	-	2018	Scaffold
Thryonomys swinderianus	Animals	Mammals	2662.15	42.8	-	-	2019	Scaffold
Cebus albifrons	Animals	Mammals	3058.67	41.1	-	-	2019	Scaffold
Nycticebus coucang	Animals	Mammals	3294.56	40.7	-	-	2019	Scaffold
Hymenolepis diminuta	Animals	Flatworms	165.87900000000005	35	11268	11244	2018	Scaffold
Eschrichtius robustus	Animals	Mammals	2849.45	30.7	-	-	2017	Scaffold
Kogia breviceps	Animals	Mammals	2759.7	41.9	-	-	2019	Scaffold
Sebastes schlegelii	Animals	Fishes	728.477	40.6	-	-	2019	Contig
Mola mola	Animals	Fishes	639.452	41.2	-	-	2016	Scaffold
Taenia asiatica	Animals	Flatworms	168.679	42.1	-	-	2016	Scaffold
Haliotis rubra	Animals	Other Animals	1378.27	40.5	-	-	2018	Scaffold
Philaenus spumarius	Animals	Insects	1248.09	23.5	-	-	2017	Scaffold
Monodon monoceros	Animals	Mammals	2546.71	41.5	-	-	2019	Scaffold
Phocoena phocoena	Animals	Mammals	2441.14	37.2	-	-	2018	Scaffold
Starmerella bacillaris	Fungi	Ascomycetes	9.31163	39.4	-	-	2017	Scaffold
